,lenght,type_of_gene
ENSG00000244534,,unknown
ENSG00000258897,,unknown
ENSG00000236281,,unknown
ENSG00000280280,,unknown
ENSG00000266319,,unknown
ENSG00000263581,,microRNA
ENSG00000163600,24829.0,protein-coding
ENSG00000273472,,unknown
ENSG00000242613,,unknown
ENSG00000252066,,unknown
ENSG00000268439,,unknown
ENSG00000163114,1455.0,protein-coding
ENSG00000207585,,microRNA
ENSG00000274667,,unknown
ENSG00000109881,33041.0,protein-coding
ENSG00000262670,,unknown
ENSG00000248719,,unknown
ENSG00000263512,,microRNA
ENSG00000277971,,unknown
ENSG00000241216,,unknown
ENSG00000253556,,unknown
ENSG00000236039,,ncRNA
ENSG00000136518,25528.0,protein-coding
ENSG00000239920,,unknown
ENSG00000249283,,unknown
ENSG00000124399,,unknown
ENSG00000279660,,unknown
ENSG00000271737,,unknown
ENSG00000168291,6227.0,protein-coding
ENSG00000162951,16398.0,protein-coding
ENSG00000243986,,unknown
ENSG00000234745,87697.0,protein-coding
ENSG00000231542,,unknown
ENSG00000269242,,unknown
ENSG00000207771,,microRNA
ENSG00000252962,,unknown
ENSG00000201168,,unknown
ENSG00000178814,12699.0,protein-coding
ENSG00000234485,,unknown
ENSG00000207404,,unknown
ENSG00000164066,103466.0,protein-coding
ENSG00000187013,,ncRNA
ENSG00000077312,14752.0,protein-coding
ENSG00000270499,,unknown
ENSG00000268324,,antisense
ENSG00000267185,,unknown
ENSG00000214975,,unknown
ENSG00000268996,,ncRNA
ENSG00000257124,,unknown
ENSG00000235414,,unknown
ENSG00000277425,,unknown
ENSG00000275113,4730.0,protein-coding
ENSG00000239775,,unknown
ENSG00000240478,,unknown
ENSG00000100099,40414.0,protein-coding
ENSG00000207719,,microRNA
ENSG00000274659,,unknown
ENSG00000037757,9750.0,protein-coding
ENSG00000265589,,unknown
ENSG00000172828,13911.0,protein-coding
ENSG00000278842,,unknown
ENSG00000273002,,ncRNA
ENSG00000248208,,unknown
ENSG00000257870,,unknown
ENSG00000233686,,unknown
ENSG00000249302,,unknown
ENSG00000261481,,unknown
ENSG00000207599,,microRNA
ENSG00000251544,,unknown
ENSG00000267397,,unknown
ENSG00000273381,,unknown
ENSG00000211787,,unknown
ENSG00000111291,11372.0,protein-coding
ENSG00000263788,,unknown
ENSG00000216817,,unknown
ENSG00000253837,,ncRNA
ENSG00000207169,,unknown
ENSG00000240027,,unknown
ENSG00000150510,61907.0,protein-coding
ENSG00000089356,8445.0,protein-coding
ENSG00000163161,36886.0,protein-coding
ENSG00000197054,15344.0,protein-coding
ENSG00000114544,95206.0,protein-coding
ENSG00000267365,,antisense
ENSG00000243832,,intergenic
ENSG00000177613,4104.0,protein-coding
ENSG00000205318,,unknown
ENSG00000204779,3108.0,protein-coding
ENSG00000199370,,unknown
ENSG00000265373,,microRNA
ENSG00000189423,,unknown
ENSG00000226837,,unknown
ENSG00000205625,,unknown
ENSG00000224312,,unknown
ENSG00000106610,,pseudo
ENSG00000242246,,unknown
ENSG00000266527,,unknown
ENSG00000259065,,unknown
ENSG00000236018,,unknown
ENSG00000268635,,unknown
ENSG00000115267,51624.0,protein-coding
ENSG00000262402,,unknown
ENSG00000269662,,unknown
ENSG00000242834,,unknown
ENSG00000008513,117092.0,protein-coding
ENSG00000198182,23427.0,protein-coding
ENSG00000188730,148289.0,protein-coding
ENSG00000258387,,unknown
ENSG00000244461,,unknown
ENSG00000242472,,unknown
ENSG00000174482,722208.0,protein-coding
ENSG00000227011,2139.0,protein-coding
ENSG00000241149,,unknown
ENSG00000200520,,unknown
ENSG00000198104,16065.0,protein-coding
ENSG00000232795,,unknown
ENSG00000184434,12557.0,protein-coding
ENSG00000232968,,unknown
ENSG00000212538,,unknown
ENSG00000278868,,unknown
ENSG00000274316,,unknown
ENSG00000239200,,unknown
ENSG00000223929,,unknown
ENSG00000264204,,unknown
ENSG00000137055,43380.0,protein-coding
ENSG00000256742,,unknown
ENSG00000265485,,intergenic
ENSG00000236256,,antisense
ENSG00000171435,515971.0,protein-coding
ENSG00000253897,,unknown
ENSG00000280371,,unknown
ENSG00000103966,76639.0,protein-coding
ENSG00000233155,,unknown
ENSG00000170290,12315.0,protein-coding
ENSG00000253432,,unknown
ENSG00000183578,48678.0,protein-coding
ENSG00000237970,,unknown
ENSG00000144406,227307.0,protein-coding
ENSG00000207759,,microRNA
ENSG00000166562,19359.0,protein-coding
ENSG00000130283,,unknown
ENSG00000211580,,microRNA
ENSG00000162909,74425.0,protein-coding
ENSG00000172086,28524.0,protein-coding
ENSG00000189306,9834.0,protein-coding
ENSG00000210841,,unknown
ENSG00000130363,27316.0,protein-coding
ENSG00000242372,6074.0,protein-coding
ENSG00000271190,,unknown
ENSG00000265222,,unknown
ENSG00000269915,,unknown
ENSG00000188656,,unknown
ENSG00000211795,,unknown
ENSG00000270306,,unknown
ENSG00000204219,43679.0,protein-coding
ENSG00000250451,,antisense
ENSG00000232927,,unknown
ENSG00000253497,,unknown
ENSG00000206939,,unknown
ENSG00000267286,,unknown
ENSG00000199291,,unknown
ENSG00000278929,,unknown
ENSG00000173404,2828.0,protein-coding
ENSG00000250386,,unknown
ENSG00000269792,,unknown
ENSG00000234110,,unknown
ENSG00000233932,25634.0,protein-coding
ENSG00000265504,,unknown
ENSG00000254165,,unknown
ENSG00000122711,30202.0,protein-coding
ENSG00000239861,,unknown
ENSG00000231210,,unknown
ENSG00000224107,1571.0,protein-coding
ENSG00000253719,7603.0,protein-coding
ENSG00000265093,,unknown
ENSG00000201326,,snoRNA
ENSG00000223935,,unknown
ENSG00000228471,,unknown
ENSG00000206925,,unknown
ENSG00000232767,,ncRNA
ENSG00000199285,,unknown
ENSG00000265734,,microRNA
ENSG00000200090,,unknown
ENSG00000127585,13331.0,protein-coding
ENSG00000221634,,microRNA
ENSG00000171766,41203.0,protein-coding
ENSG00000102910,118826.0,protein-coding
ENSG00000274855,,unknown
ENSG00000104524,5860.0,protein-coding
ENSG00000267522,,intergenic
ENSG00000200814,,unknown
ENSG00000239003,,unknown
ENSG00000138802,107124.0,protein-coding
ENSG00000226125,,intergenic
ENSG00000249116,,unknown
ENSG00000232194,,unknown
ENSG00000223908,,unknown
ENSG00000276978,,unknown
ENSG00000249882,,unknown
ENSG00000123505,20943.0,protein-coding
ENSG00000267518,,unknown
ENSG00000231514,,unknown
ENSG00000228704,,unknown
ENSG00000211789,,unknown
ENSG00000216819,,unknown
ENSG00000260722,,unknown
ENSG00000271468,,unknown
ENSG00000151502,23147.0,protein-coding
ENSG00000242314,,unknown
ENSG00000255518,,unknown
ENSG00000238426,,unknown
ENSG00000241882,,unknown
ENSG00000185668,2183.0,protein-coding
ENSG00000180113,16444.0,protein-coding
ENSG00000002549,30780.0,protein-coding
ENSG00000251072,,ncRNA
ENSG00000267794,,unknown
ENSG00000214643,4244.0,protein-coding
ENSG00000148942,56408.0,protein-coding
ENSG00000170448,67434.0,protein-coding
ENSG00000240772,,unknown
ENSG00000226853,,unknown
ENSG00000145423,8528.0,protein-coding
ENSG00000227279,,unknown
ENSG00000183762,95255.0,protein-coding
ENSG00000265873,,microRNA
ENSG00000255414,,unknown
ENSG00000149187,99636.0,protein-coding
ENSG00000130538,980.0,protein-coding
ENSG00000272638,,unknown
ENSG00000225480,,unknown
ENSG00000144043,9007.0,protein-coding
ENSG00000273571,,unknown
ENSG00000227688,,unknown
ENSG00000236985,,unknown
ENSG00000265366,,pseudo
ENSG00000260202,,unknown
ENSG00000148399,24031.0,protein-coding
ENSG00000275852,,intergenic
ENSG00000279305,,unknown
ENSG00000111110,291055.0,protein-coding
ENSG00000242049,,antisense
ENSG00000237752,,unknown
ENSG00000274364,,unknown
ENSG00000200997,,unknown
ENSG00000238116,,unknown
ENSG00000261095,,ncRNA
ENSG00000259557,,unknown
ENSG00000184895,844.0,protein-coding
ENSG00000249564,,unknown
ENSG00000279284,,unknown
ENSG00000251722,,unknown
ENSG00000176714,3373.0,protein-coding
ENSG00000183148,43107.0,protein-coding
ENSG00000280429,,unknown
ENSG00000012817,41074.0,protein-coding
ENSG00000253149,,unknown
ENSG00000271237,,unknown
ENSG00000253140,,unknown
ENSG00000104522,5430.0,protein-coding
ENSG00000175221,25588.0,protein-coding
ENSG00000115073,8144.0,protein-coding
ENSG00000272945,,unknown
ENSG00000211460,30750.0,protein-coding
ENSG00000253413,,unknown
ENSG00000275647,,unknown
ENSG00000226967,,unknown
ENSG00000230384,,unknown
ENSG00000259621,,unknown
ENSG00000253367,,unknown
ENSG00000183172,4593.0,protein-coding
ENSG00000236241,,unknown
ENSG00000281033,,unknown
ENSG00000272478,,unknown
ENSG00000229091,,unknown
ENSG00000140262,380658.0,protein-coding
ENSG00000140740,31000.0,protein-coding
ENSG00000160570,21542.0,protein-coding
ENSG00000276874,,unknown
ENSG00000271400,,unknown
ENSG00000248337,,unknown
ENSG00000277636,,microRNA
ENSG00000237671,7327.0,protein-coding
ENSG00000200834,,unknown
ENSG00000227941,,unknown
ENSG00000229518,,unknown
ENSG00000064763,191877.0,protein-coding
ENSG00000147166,3637.0,protein-coding
ENSG00000168496,4607.0,protein-coding
ENSG00000259273,,unknown
ENSG00000099904,18551.0,protein-coding
ENSG00000113319,269484.0,protein-coding
ENSG00000129646,33949.0,protein-coding
ENSG00000277197,,unknown
ENSG00000241525,,ncRNA
ENSG00000255410,,unknown
ENSG00000177679,85388.0,protein-coding
ENSG00000239513,,intergenic
ENSG00000206677,,unknown
ENSG00000259834,,unknown
ENSG00000135074,180241.0,protein-coding
ENSG00000234536,,unknown
ENSG00000181523,14207.0,protein-coding
ENSG00000053254,494278.0,protein-coding
ENSG00000207611,,microRNA
ENSG00000230783,,unknown
ENSG00000213592,,unknown
ENSG00000238621,,unknown
ENSG00000229168,,unknown
ENSG00000171105,181779.0,protein-coding
ENSG00000238742,,unknown
ENSG00000147130,15522.0,protein-coding
ENSG00000233270,,unknown
ENSG00000229246,,unknown
ENSG00000267506,,unknown
ENSG00000277096,,unknown
ENSG00000124006,21130.0,protein-coding
ENSG00000184502,3643.0,protein-coding
ENSG00000278955,,unknown
ENSG00000176115,,unknown
ENSG00000227867,,unknown
ENSG00000176268,,unknown
ENSG00000232814,,antisense
ENSG00000221466,,microRNA
ENSG00000250543,,unknown
ENSG00000251809,,unknown
ENSG00000252050,,unknown
ENSG00000276707,,unknown
ENSG00000228714,,ncRNA
ENSG00000182985,335739.0,protein-coding
ENSG00000123353,3960.0,protein-coding
ENSG00000281295,,unknown
ENSG00000180172,,unknown
ENSG00000265932,,microRNA
ENSG00000104626,114599.0,protein-coding
ENSG00000254558,,unknown
ENSG00000255536,,unknown
ENSG00000140264,25502.0,protein-coding
ENSG00000228877,,unknown
ENSG00000235005,,unknown
ENSG00000149761,4745.0,protein-coding
ENSG00000257224,,unknown
ENSG00000221094,,unknown
ENSG00000267099,,unknown
ENSG00000072501,48579.0,protein-coding
ENSG00000167977,26555.0,protein-coding
ENSG00000181135,29446.0,protein-coding
ENSG00000207605,,microRNA
ENSG00000230793,,unknown
ENSG00000140030,9687.0,protein-coding
ENSG00000221838,8796.0,protein-coding
ENSG00000274899,,unknown
ENSG00000219139,,unknown
ENSG00000238161,,unknown
ENSG00000169385,984.0,protein-coding
ENSG00000240524,,unknown
ENSG00000279088,,unknown
ENSG00000279789,,unknown
ENSG00000241188,,unknown
ENSG00000229368,,unknown
ENSG00000177337,,unknown
ENSG00000277299,,unknown
ENSG00000240450,,pseudo
ENSG00000237202,,unknown
ENSG00000108849,1664.0,protein-coding
ENSG00000213822,12330.0,protein-coding
ENSG00000271428,,unknown
ENSG00000279694,,unknown
ENSG00000177406,,ncRNA
ENSG00000259547,,unknown
ENSG00000075239,26260.0,protein-coding
ENSG00000253573,,unknown
ENSG00000277652,,unknown
ENSG00000237238,,unknown
ENSG00000179988,43132.0,protein-coding
ENSG00000115239,254938.0,protein-coding
ENSG00000250272,,unknown
ENSG00000279185,,unknown
ENSG00000231419,,intergenic
ENSG00000160233,6710.0,protein-coding
ENSG00000119927,65513.0,protein-coding
ENSG00000162735,9536.0,protein-coding
ENSG00000177294,20878.0,protein-coding
ENSG00000102109,4539.0,protein-coding
ENSG00000207943,,microRNA
ENSG00000186466,,unknown
ENSG00000250942,,unknown
ENSG00000253369,,unknown
ENSG00000252053,,unknown
ENSG00000207691,,microRNA
ENSG00000259051,,unknown
ENSG00000204814,,unknown
ENSG00000243338,,unknown
ENSG00000122068,50417.0,protein-coding
ENSG00000222236,,unknown
ENSG00000258557,,unknown
ENSG00000223039,,unknown
ENSG00000143256,17555.0,protein-coding
ENSG00000224869,,unknown
ENSG00000260105,,pseudo
ENSG00000238560,,unknown
ENSG00000160145,646302.0,protein-coding
ENSG00000150712,86015.0,protein-coding
ENSG00000224814,,unknown
ENSG00000267789,,unknown
ENSG00000251642,,unknown
ENSG00000114646,18553.0,protein-coding
ENSG00000124091,34433.0,protein-coding
ENSG00000265217,,unknown
ENSG00000197857,70201.0,protein-coding
ENSG00000252772,,unknown
ENSG00000223875,,unknown
ENSG00000276326,,microRNA
ENSG00000242222,,unknown
ENSG00000222244,,unknown
ENSG00000277766,,unknown
ENSG00000188039,97987.0,protein-coding
ENSG00000253767,122822.0,protein-coding
ENSG00000143363,27293.0,protein-coding
ENSG00000168710,39055.0,protein-coding
ENSG00000276853,,unknown
ENSG00000147896,2184.0,protein-coding
ENSG00000255318,,unknown
ENSG00000221135,,unknown
ENSG00000253626,3839.0,protein-coding
ENSG00000201264,,snoRNA
ENSG00000258854,,unknown
ENSG00000213131,,unknown
ENSG00000207776,,microRNA
ENSG00000223416,,unknown
ENSG00000175841,,unknown
ENSG00000255851,,unknown
ENSG00000239945,,unknown
ENSG00000109016,69901.0,protein-coding
ENSG00000277534,,unknown
ENSG00000235085,,unknown
ENSG00000104848,5523.0,protein-coding
ENSG00000281381,,unknown
ENSG00000213280,,unknown
ENSG00000240386,356.0,protein-coding
ENSG00000180917,8326.0,protein-coding
ENSG00000272788,,unknown
ENSG00000124198,114803.0,protein-coding
ENSG00000134709,61592.0,protein-coding
ENSG00000113578,105892.0,protein-coding
ENSG00000182853,1148.0,protein-coding
ENSG00000169688,1305.0,protein-coding
ENSG00000229002,,unknown
ENSG00000114120,39131.0,protein-coding
ENSG00000177984,6621.0,protein-coding
ENSG00000215537,,unknown
ENSG00000105993,82058.0,protein-coding
ENSG00000263412,,unknown
ENSG00000186579,3881.0,protein-coding
ENSG00000196187,36833.0,protein-coding
ENSG00000233681,,unknown
ENSG00000253557,,unknown
ENSG00000207088,,snoRNA
ENSG00000253522,,ncRNA
ENSG00000178685,35619.0,protein-coding
ENSG00000153207,92869.0,protein-coding
ENSG00000281106,31828.0,protein-coding
ENSG00000197619,16898.0,protein-coding
ENSG00000204435,5107.0,protein-coding
ENSG00000210144,,unknown
ENSG00000254346,,unknown
ENSG00000266076,,unknown
ENSG00000252445,,unknown
ENSG00000227300,,unknown
ENSG00000232056,,unknown
ENSG00000281408,,unknown
ENSG00000123374,6015.0,protein-coding
ENSG00000261648,,unknown
ENSG00000136943,9964.0,protein-coding
ENSG00000250627,,unknown
ENSG00000271075,,unknown
ENSG00000270347,,unknown
ENSG00000264901,,microRNA
ENSG00000236712,,unknown
ENSG00000226179,,unknown
ENSG00000214534,7503.0,protein-coding
ENSG00000259418,,unknown
ENSG00000186480,12459.0,protein-coding
ENSG00000256708,,unknown
ENSG00000128923,90708.0,protein-coding
ENSG00000215043,,unknown
ENSG00000256188,1686.0,protein-coding
ENSG00000228259,,unknown
ENSG00000122824,5294.0,protein-coding
ENSG00000233406,,unknown
ENSG00000233228,,unknown
ENSG00000215168,,unknown
ENSG00000165795,54109.0,protein-coding
ENSG00000086102,80646.0,protein-coding
ENSG00000249491,,unknown
ENSG00000253181,,unknown
ENSG00000211879,,unknown
ENSG00000183654,113623.0,protein-coding
ENSG00000234860,,unknown
ENSG00000241007,,unknown
ENSG00000169994,101927.0,protein-coding
ENSG00000234758,,unknown
ENSG00000231449,,unknown
ENSG00000010539,13896.0,protein-coding
ENSG00000230654,,unknown
ENSG00000223772,,unknown
ENSG00000221384,,unknown
ENSG00000169877,939.0,protein-coding
ENSG00000264618,,unknown
ENSG00000224760,,unknown
ENSG00000200761,,unknown
ENSG00000261198,,unknown
ENSG00000265486,,unknown
ENSG00000154582,33118.0,protein-coding
ENSG00000279927,,unknown
ENSG00000252301,,unknown
ENSG00000263963,,unknown
ENSG00000186190,18204.0,protein-coding
ENSG00000182504,46637.0,protein-coding
ENSG00000222790,,unknown
ENSG00000181938,111064.0,protein-coding
ENSG00000199687,,unknown
ENSG00000237977,,unknown
ENSG00000138346,58057.0,protein-coding
ENSG00000177047,1931.0,protein-coding
ENSG00000264390,,microRNA
ENSG00000271415,,unknown
ENSG00000141378,32990.0,protein-coding
ENSG00000179299,60088.0,protein-coding
ENSG00000280656,,unknown
ENSG00000221890,25530.0,protein-coding
ENSG00000236724,,unknown
ENSG00000235238,,unknown
ENSG00000135002,9000.0,protein-coding
ENSG00000281713,,unknown
ENSG00000206737,,snRNA
ENSG00000259422,,ncRNA
ENSG00000258969,,unknown
ENSG00000232023,,intergenic
ENSG00000224988,,unknown
ENSG00000144366,304262.0,protein-coding
ENSG00000029153,92435.0,protein-coding
ENSG00000227437,,unknown
ENSG00000273988,,unknown
ENSG00000107611,305851.0,protein-coding
ENSG00000252534,,unknown
ENSG00000182687,2747.0,protein-coding
ENSG00000260422,,unknown
ENSG00000232290,,unknown
ENSG00000198738,,unknown
ENSG00000199796,,unknown
ENSG00000182896,2096.0,protein-coding
ENSG00000182774,3814.0,protein-coding
ENSG00000222677,,unknown
ENSG00000166557,116370.0,protein-coding
ENSG00000201325,,unknown
ENSG00000202268,,unknown
ENSG00000258779,,intergenic
ENSG00000279541,,unknown
ENSG00000180714,,unknown
ENSG00000272277,,unknown
ENSG00000227427,,unknown
ENSG00000266979,,intergenic
ENSG00000273976,8554.0,protein-coding
ENSG00000118096,28442.0,protein-coding
ENSG00000238186,,unknown
ENSG00000244391,,unknown
ENSG00000230860,,unknown
ENSG00000269199,,unknown
ENSG00000101438,4910.0,protein-coding
ENSG00000179295,91562.0,protein-coding
ENSG00000257826,,unknown
ENSG00000276117,,unknown
ENSG00000239527,,unknown
ENSG00000182315,2431.0,protein-coding
ENSG00000188771,12381.0,protein-coding
ENSG00000258563,,unknown
ENSG00000242699,,unknown
ENSG00000268743,,unknown
ENSG00000228338,,unknown
ENSG00000256982,,unknown
ENSG00000087903,206408.0,protein-coding
ENSG00000197993,21567.0,protein-coding
ENSG00000169241,3513.0,protein-coding
ENSG00000271502,,unknown
ENSG00000120526,93466.0,protein-coding
ENSG00000237464,,unknown
ENSG00000062485,28693.0,protein-coding
ENSG00000177551,7540.0,protein-coding
ENSG00000277930,,unknown
ENSG00000239216,,unknown
ENSG00000234648,,unknown
ENSG00000173662,24576.0,protein-coding
ENSG00000164631,18490.0,protein-coding
ENSG00000254674,,unknown
ENSG00000204909,18646.0,protein-coding
ENSG00000198961,75285.0,protein-coding
ENSG00000187676,132340.0,protein-coding
ENSG00000183668,57739.0,protein-coding
ENSG00000215583,,unknown
ENSG00000274718,,unknown
ENSG00000223890,,unknown
ENSG00000266993,,unknown
ENSG00000113456,13725.0,protein-coding
ENSG00000266965,,unknown
ENSG00000260476,,unknown
ENSG00000163687,22440.0,protein-coding
ENSG00000015568,64937.0,protein-coding
ENSG00000251599,,ncRNA
ENSG00000200436,,unknown
ENSG00000165478,17219.0,protein-coding
ENSG00000206195,,pseudo
ENSG00000251886,,unknown
ENSG00000274809,,microRNA
ENSG00000248449,,pseudo
ENSG00000137266,188060.0,protein-coding
ENSG00000255343,,unknown
ENSG00000114648,63899.0,protein-coding
ENSG00000237751,,intergenic
ENSG00000280987,57919.0,protein-coding
ENSG00000198868,,unknown
ENSG00000132164,124533.0,protein-coding
ENSG00000264616,,microRNA
ENSG00000199032,,microRNA
ENSG00000176853,46996.0,protein-coding
ENSG00000260756,,unknown
ENSG00000259357,,unknown
ENSG00000173660,13145.0,protein-coding
ENSG00000234426,,unknown
ENSG00000270038,,unknown
ENSG00000279658,,unknown
ENSG00000168883,46426.0,protein-coding
ENSG00000163239,45928.0,protein-coding
ENSG00000100450,3219.0,protein-coding
ENSG00000198019,8965.0,protein-coding
ENSG00000256904,,unknown
ENSG00000265398,,unknown
ENSG00000152056,86341.0,protein-coding
ENSG00000007933,26942.0,protein-coding
ENSG00000226521,,unknown
ENSG00000235236,,unknown
ENSG00000222586,,unknown
ENSG00000117480,19583.0,protein-coding
ENSG00000255669,,unknown
ENSG00000200648,,unknown
ENSG00000100023,34006.0,protein-coding
ENSG00000232811,,unknown
ENSG00000255693,,unknown
ENSG00000271088,,unknown
ENSG00000223478,,ncRNA
ENSG00000121417,12384.0,protein-coding
ENSG00000272657,,unknown
ENSG00000201016,,unknown
